context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: I don't wish Master to see what Kunlun Mountain has become now.\It doesn't matter.\We'll set out toward Kunlun Mountain now.\Yes, Master.\What did you say?\Lord Dong Hua will meet his destined calamity?\Feng Jiu, look on the bright side.\Irregardless of their capability or ranks, all deities in the heavens response:	will have to meet their destined calamity.
context: It doesn't matter.\We'll set out toward Kunlun Mountain now.\Yes, Master.\What did you say?\Lord Dong Hua will meet his destined calamity?\Feng Jiu, look on the bright side.\Irregardless of their capability or ranks, all deities in the heavens\will have to meet their destined calamity. response:	All have to enter the realm of nothingness.
context: We'll set out toward Kunlun Mountain now.\Yes, Master.\What did you say?\Lord Dong Hua will meet his destined calamity?\Feng Jiu, look on the bright side.\Irregardless of their capability or ranks, all deities in the heavens\will have to meet their destined calamity.\All have to enter the realm of nothingness. response:	Look at how long Lord Dong Hua has already been around.
context: Yes, Master.\What did you say?\Lord Dong Hua will meet his destined calamity?\Feng Jiu, look on the bright side.\Irregardless of their capability or ranks, all deities in the heavens\will have to meet their destined calamity.\All have to enter the realm of nothingness.\Look at how long Lord Dong Hua has already been around. response:	It's time...
context: What did you say?\Lord Dong Hua will meet his destined calamity?\Feng Jiu, look on the bright side.\Irregardless of their capability or ranks, all deities in the heavens\will have to meet their destined calamity.\All have to enter the realm of nothingness.\Look at how long Lord Dong Hua has already been around.\It's time... response:	It's time that he meets his destined calamity.
context: Lord Dong Hua will meet his destined calamity?\Feng Jiu, look on the bright side.\Irregardless of their capability or ranks, all deities in the heavens\will have to meet their destined calamity.\All have to enter the realm of nothingness.\Look at how long Lord Dong Hua has already been around.\It's time...\It's time that he meets his destined calamity. response:	I don't believe it...
context: Feng Jiu, look on the bright side.\Irregardless of their capability or ranks, all deities in the heavens\will have to meet their destined calamity.\All have to enter the realm of nothingness.\Look at how long Lord Dong Hua has already been around.\It's time...\It's time that he meets his destined calamity.\I don't believe it... response:	I don't believe it.
context: Irregardless of their capability or ranks, all deities in the heavens\will have to meet their destined calamity.\All have to enter the realm of nothingness.\Look at how long Lord Dong Hua has already been around.\It's time...\It's time that he meets his destined calamity.\I don't believe it...\I don't believe it. response:	I'm going to ask him.
context: will have to meet their destined calamity.\All have to enter the realm of nothingness.\Look at how long Lord Dong Hua has already been around.\It's time...\It's time that he meets his destined calamity.\I don't believe it...\I don't believe it.\I'm going to ask him. response:	Lord Dong Hua!
context: All have to enter the realm of nothingness.\Look at how long Lord Dong Hua has already been around.\It's time...\It's time that he meets his destined calamity.\I don't believe it...\I don't believe it.\I'm going to ask him.\Lord Dong Hua! response:	Lord Dong Hua!
context: Look at how long Lord Dong Hua has already been around.\It's time...\It's time that he meets his destined calamity.\I don't believe it...\I don't believe it.\I'm going to ask him.\Lord Dong Hua!\Lord Dong Hua! response:	Lord Dong Hua!
context: It's time...\It's time that he meets his destined calamity.\I don't believe it...\I don't believe it.\I'm going to ask him.\Lord Dong Hua!\Lord Dong Hua!\Lord Dong Hua! response:	Where are you, Lord Dong Hua?
context: It's time that he meets his destined calamity.\I don't believe it...\I don't believe it.\I'm going to ask him.\Lord Dong Hua!\Lord Dong Hua!\Lord Dong Hua!\Where are you, Lord Dong Hua? response:	Lord Dong Hua!
context: I don't believe it...\I don't believe it.\I'm going to ask him.\Lord Dong Hua!\Lord Dong Hua!\Lord Dong Hua!\Where are you, Lord Dong Hua?\Lord Dong Hua! response:	Lord Dong Hua...
context: I don't believe it.\I'm going to ask him.\Lord Dong Hua!\Lord Dong Hua!\Lord Dong Hua!\Where are you, Lord Dong Hua?\Lord Dong Hua!\Lord Dong Hua... response:	Why are you crying?
context: I'm going to ask him.\Lord Dong Hua!\Lord Dong Hua!\Lord Dong Hua!\Where are you, Lord Dong Hua?\Lord Dong Hua!\Lord Dong Hua...\Why are you crying? response:	If Your Lordship lives, Feng Jiu lives.
context: Lord Dong Hua!\Lord Dong Hua!\Lord Dong Hua!\Where are you, Lord Dong Hua?\Lord Dong Hua!\Lord Dong Hua...\Why are you crying?\If Your Lordship lives, Feng Jiu lives. response:	If you die, I'd never survive alone.
context: Lord Dong Hua!\Lord Dong Hua!\Where are you, Lord Dong Hua?\Lord Dong Hua!\Lord Dong Hua...\Why are you crying?\If Your Lordship lives, Feng Jiu lives.\If you die, I'd never survive alone. response:	Feng Jiu.
context: Lord Dong Hua!\Where are you, Lord Dong Hua?\Lord Dong Hua!\Lord Dong Hua...\Why are you crying?\If Your Lordship lives, Feng Jiu lives.\If you die, I'd never survive alone.\Feng Jiu. response:	Don't behave so.
context: Where are you, Lord Dong Hua?\Lord Dong Hua!\Lord Dong Hua...\Why are you crying?\If Your Lordship lives, Feng Jiu lives.\If you die, I'd never survive alone.\Feng Jiu.\Don't behave so. response:	I won't obey you.
context: Lord Dong Hua!\Lord Dong Hua...\Why are you crying?\If Your Lordship lives, Feng Jiu lives.\If you die, I'd never survive alone.\Feng Jiu.\Don't behave so.\I won't obey you. response:	Qing Qiu's princess comes up to the Nine Heavens
context: Lord Dong Hua...\Why are you crying?\If Your Lordship lives, Feng Jiu lives.\If you die, I'd never survive alone.\Feng Jiu.\Don't behave so.\I won't obey you.\Qing Qiu's princess comes up to the Nine Heavens response:	and hugs me for no reason. Aren't you embarrassed?
context: Why are you crying?\If Your Lordship lives, Feng Jiu lives.\If you die, I'd never survive alone.\Feng Jiu.\Don't behave so.\I won't obey you.\Qing Qiu's princess comes up to the Nine Heavens\and hugs me for no reason. Aren't you embarrassed? response:	We have been married for years in the Mortal Realm. Why would I mind?
context: If Your Lordship lives, Feng Jiu lives.\If you die, I'd never survive alone.\Feng Jiu.\Don't behave so.\I won't obey you.\Qing Qiu's princess comes up to the Nine Heavens\and hugs me for no reason. Aren't you embarrassed?\We have been married for years in the Mortal Realm. Why would I mind? response:	That was to overcome the calamity.
