context: Huh? response:	Doesn't it seem more crowded than usual?
context: He met Mr. Watanabe, the old man from earlier, while doing community service\and asked him for some of his bamboo.\The Overlord did community service?\Of course, we don't know if this will get us anywhere,\but at least it's changed the mood here, right?\Hell, ain't he capable?\I'll admit he's enthusiastic about work.\Huh? response:	So pretty!
context: and asked him for some of his bamboo.\The Overlord did community service?\Of course, we don't know if this will get us anywhere,\but at least it's changed the mood here, right?\Hell, ain't he capable?\I'll admit he's enthusiastic about work.\Huh?\So pretty! response:	Is this the place with the cute and funny girl?
context: The Overlord did community service?\Of course, we don't know if this will get us anywhere,\but at least it's changed the mood here, right?\Hell, ain't he capable?\I'll admit he's enthusiastic about work.\Huh?\So pretty!\Is this the place with the cute and funny girl? response:	This way.
context: Of course, we don't know if this will get us anywhere,\but at least it's changed the mood here, right?\Hell, ain't he capable?\I'll admit he's enthusiastic about work.\Huh?\So pretty!\Is this the place with the cute and funny girl?\This way. response:	Wh-What's happening?!
context: but at least it's changed the mood here, right?\Hell, ain't he capable?\I'll admit he's enthusiastic about work.\Huh?\So pretty!\Is this the place with the cute and funny girl?\This way.\Wh-What's happening?! response:	Mom, I wanna put one up!
context: Hell, ain't he capable?\I'll admit he's enthusiastic about work.\Huh?\So pretty!\Is this the place with the cute and funny girl?\This way.\Wh-What's happening?!\Mom, I wanna put one up! response:	What?!
context: I'll admit he's enthusiastic about work.\Huh?\So pretty!\Is this the place with the cute and funny girl?\This way.\Wh-What's happening?!\Mom, I wanna put one up!\What?! response:	For real?!
context: Huh?\So pretty!\Is this the place with the cute and funny girl?\This way.\Wh-What's happening?!\Mom, I wanna put one up!\What?!\For real?! response:	How did this many people show up just because they put out some bamboo?!
context: So pretty!\Is this the place with the cute and funny girl?\This way.\Wh-What's happening?!\Mom, I wanna put one up!\What?!\For real?!\How did this many people show up just because they put out some bamboo?! response:	What kinda feng shui is this?!
context: Is this the place with the cute and funny girl?\This way.\Wh-What's happening?!\Mom, I wanna put one up!\What?!\For real?!\How did this many people show up just because they put out some bamboo?!\What kinda feng shui is this?! response:	It's unbelievable!
context: This way.\Wh-What's happening?!\Mom, I wanna put one up!\What?!\For real?!\How did this many people show up just because they put out some bamboo?!\What kinda feng shui is this?!\It's unbelievable! response:	All right!
context: Wh-What's happening?!\Mom, I wanna put one up!\What?!\For real?!\How did this many people show up just because they put out some bamboo?!\What kinda feng shui is this?!\It's unbelievable!\All right! response:	Battle stations, everyone!
context: Mom, I wanna put one up!\What?!\For real?!\How did this many people show up just because they put out some bamboo?!\What kinda feng shui is this?!\It's unbelievable!\All right!\Battle stations, everyone! response:	It's time for war!
context: What?!\For real?!\How did this many people show up just because they put out some bamboo?!\What kinda feng shui is this?!\It's unbelievable!\All right!\Battle stations, everyone!\It's time for war! response:	Those who've decided on your orders,
context: For real?!\How did this many people show up just because they put out some bamboo?!\What kinda feng shui is this?!\It's unbelievable!\All right!\Battle stations, everyone!\It's time for war!\Those who've decided on your orders, response:	please line up!
context: How did this many people show up just because they put out some bamboo?!\What kinda feng shui is this?!\It's unbelievable!\All right!\Battle stations, everyone!\It's time for war!\Those who've decided on your orders,\please line up! response:	There are some empty seats over there.
context: What kinda feng shui is this?!\It's unbelievable!\All right!\Battle stations, everyone!\It's time for war!\Those who've decided on your orders,\please line up!\There are some empty seats over there. response:	Certainly.
context: It's unbelievable!\All right!\Battle stations, everyone!\It's time for war!\Those who've decided on your orders,\please line up!\There are some empty seats over there.\Certainly. response:	Right this way, please.
context: All right!\Battle stations, everyone!\It's time for war!\Those who've decided on your orders,\please line up!\There are some empty seats over there.\Certainly.\Right this way, please. response:	Where in this silent sky does the sun rise?
context: Battle stations, everyone!\It's time for war!\Those who've decided on your orders,\please line up!\There are some empty seats over there.\Certainly.\Right this way, please.\Where in this silent sky does the sun rise? response:	A promise I made while pretending to not see it
context: It's time for war!\Those who've decided on your orders,\please line up!\There are some empty seats over there.\Certainly.\Right this way, please.\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it response:	The moon that got ridiculed
context: Those who've decided on your orders,\please line up!\There are some empty seats over there.\Certainly.\Right this way, please.\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed response:	Will disappear towards the past
context: please line up!\There are some empty seats over there.\Certainly.\Right this way, please.\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past response:	Being a liar and a coward
context: There are some empty seats over there.\Certainly.\Right this way, please.\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward response:	If I was at fault for everything
context: Certainly.\Right this way, please.\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything response:	Then our promise might only have been a fleeting dream
context: Right this way, please.\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream response:	I managed to hide it in the shadow of the moonlight
context: Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight response:	But I was actually crying
context: A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying response:	My tears won't flow anymore
context: The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore response:	They've dried up
context: Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up response:	If I was able to let everything go
context: Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up\If I was able to let everything go response:	I might be able to cry again
context: If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up\If I was able to let everything go\I might be able to cry again response:	But this world is full of things I want to protect
