context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: What a pity. Then?\That king was an immortal appointed by Dong Hua Dijun.\He came to Celestial Palace after death\and told us all the details of Scarlet Flame Golden Tiger's evil.\You wanted to see me because of this?\From when you turned 50,000, you've gone through all the memos to the emporer.\You never spoke much to me.\What's with you today? response:	I saw Second Uncle today.
context: That king was an immortal appointed by Dong Hua Dijun.\He came to Celestial Palace after death\and told us all the details of Scarlet Flame Golden Tiger's evil.\You wanted to see me because of this?\From when you turned 50,000, you've gone through all the memos to the emporer.\You never spoke much to me.\What's with you today?\I saw Second Uncle today. response:	Second Brother came back?
context: He came to Celestial Palace after death\and told us all the details of Scarlet Flame Golden Tiger's evil.\You wanted to see me because of this?\From when you turned 50,000, you've gone through all the memos to the emporer.\You never spoke much to me.\What's with you today?\I saw Second Uncle today.\Second Brother came back? response:	So soon?
context: and told us all the details of Scarlet Flame Golden Tiger's evil.\You wanted to see me because of this?\From when you turned 50,000, you've gone through all the memos to the emporer.\You never spoke much to me.\What's with you today?\I saw Second Uncle today.\Second Brother came back?\So soon? response:	Didn't Father want him to live in Qing Qiu for at least three months
context: You wanted to see me because of this?\From when you turned 50,000, you've gone through all the memos to the emporer.\You never spoke much to me.\What's with you today?\I saw Second Uncle today.\Second Brother came back?\So soon?\Didn't Father want him to live in Qing Qiu for at least three months response:	to talk more with Bai Qian to grow their relationship?
context: From when you turned 50,000, you've gone through all the memos to the emporer.\You never spoke much to me.\What's with you today?\I saw Second Uncle today.\Second Brother came back?\So soon?\Didn't Father want him to live in Qing Qiu for at least three months\to talk more with Bai Qian to grow their relationship? response:	I don't know what happened between Second Uncle and Bai Qian.
context: You never spoke much to me.\What's with you today?\I saw Second Uncle today.\Second Brother came back?\So soon?\Didn't Father want him to live in Qing Qiu for at least three months\to talk more with Bai Qian to grow their relationship?\I don't know what happened between Second Uncle and Bai Qian. response:	I just know that he brought a snake spirit with him when he came back.
context: What's with you today?\I saw Second Uncle today.\Second Brother came back?\So soon?\Didn't Father want him to live in Qing Qiu for at least three months\to talk more with Bai Qian to grow their relationship?\I don't know what happened between Second Uncle and Bai Qian.\I just know that he brought a snake spirit with him when he came back. response:	A snake spirit?
context: I saw Second Uncle today.\Second Brother came back?\So soon?\Didn't Father want him to live in Qing Qiu for at least three months\to talk more with Bai Qian to grow their relationship?\I don't know what happened between Second Uncle and Bai Qian.\I just know that he brought a snake spirit with him when he came back.\A snake spirit? response:	A lady.
context: Second Brother came back?\So soon?\Didn't Father want him to live in Qing Qiu for at least three months\to talk more with Bai Qian to grow their relationship?\I don't know what happened between Second Uncle and Bai Qian.\I just know that he brought a snake spirit with him when he came back.\A snake spirit?\A lady. response:	A lady?
context: So soon?\Didn't Father want him to live in Qing Qiu for at least three months\to talk more with Bai Qian to grow their relationship?\I don't know what happened between Second Uncle and Bai Qian.\I just know that he brought a snake spirit with him when he came back.\A snake spirit?\A lady.\A lady? response:	Oh no.
context: Didn't Father want him to live in Qing Qiu for at least three months\to talk more with Bai Qian to grow their relationship?\I don't know what happened between Second Uncle and Bai Qian.\I just know that he brought a snake spirit with him when he came back.\A snake spirit?\A lady.\A lady?\Oh no. response:	Your Highness, I don't understand.
context: to talk more with Bai Qian to grow their relationship?\I don't know what happened between Second Uncle and Bai Qian.\I just know that he brought a snake spirit with him when he came back.\A snake spirit?\A lady.\A lady?\Oh no.\Your Highness, I don't understand. response:	So what if it's a woman?
context: I don't know what happened between Second Uncle and Bai Qian.\I just know that he brought a snake spirit with him when he came back.\A snake spirit?\A lady.\A lady?\Oh no.\Your Highness, I don't understand.\So what if it's a woman? response:	It's not like there are no women in the Palace.
context: I just know that he brought a snake spirit with him when he came back.\A snake spirit?\A lady.\A lady?\Oh no.\Your Highness, I don't understand.\So what if it's a woman?\It's not like there are no women in the Palace. response:	Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.
context: A snake spirit?\A lady.\A lady?\Oh no.\Your Highness, I don't understand.\So what if it's a woman?\It's not like there are no women in the Palace.\Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago. response:	It's that lady.
context: A lady.\A lady?\Oh no.\Your Highness, I don't understand.\So what if it's a woman?\It's not like there are no women in the Palace.\Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.\It's that lady. response:	What you mean is
context: A lady?\Oh no.\Your Highness, I don't understand.\So what if it's a woman?\It's not like there are no women in the Palace.\Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.\It's that lady.\What you mean is response:	Second Prince sneakily brought his fiancee's servant back?
context: Oh no.\Your Highness, I don't understand.\So what if it's a woman?\It's not like there are no women in the Palace.\Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.\It's that lady.\What you mean is\Second Prince sneakily brought his fiancee's servant back? response:	Your Highness wanted Third Prince to come up with a plan early on.
context: Your Highness, I don't understand.\So what if it's a woman?\It's not like there are no women in the Palace.\Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.\It's that lady.\What you mean is\Second Prince sneakily brought his fiancee's servant back?\Your Highness wanted Third Prince to come up with a plan early on. response:	Qing Qiu's Bai Qian is a strange lady.
context: So what if it's a woman?\It's not like there are no women in the Palace.\Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.\It's that lady.\What you mean is\Second Prince sneakily brought his fiancee's servant back?\Your Highness wanted Third Prince to come up with a plan early on.\Qing Qiu's Bai Qian is a strange lady. response:	She gave away Lord of Numinous Treasures's cloud clearing fan
context: It's not like there are no women in the Palace.\Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.\It's that lady.\What you mean is\Second Prince sneakily brought his fiancee's servant back?\Your Highness wanted Third Prince to come up with a plan early on.\Qing Qiu's Bai Qian is a strange lady.\She gave away Lord of Numinous Treasures's cloud clearing fan response:	to that snake spirit.
context: Qing Qiu's Bai Qian once took in a snake spirit 70,000 years ago.\It's that lady.\What you mean is\Second Prince sneakily brought his fiancee's servant back?\Your Highness wanted Third Prince to come up with a plan early on.\Qing Qiu's Bai Qian is a strange lady.\She gave away Lord of Numinous Treasures's cloud clearing fan\to that snake spirit. response:	Talk of that was spread all over the realms.
context: It's that lady.\What you mean is\Second Prince sneakily brought his fiancee's servant back?\Your Highness wanted Third Prince to come up with a plan early on.\Qing Qiu's Bai Qian is a strange lady.\She gave away Lord of Numinous Treasures's cloud clearing fan\to that snake spirit.\Talk of that was spread all over the realms. response:	You may leave.
context: What you mean is\Second Prince sneakily brought his fiancee's servant back?\Your Highness wanted Third Prince to come up with a plan early on.\Qing Qiu's Bai Qian is a strange lady.\She gave away Lord of Numinous Treasures's cloud clearing fan\to that snake spirit.\Talk of that was spread all over the realms.\You may leave. response:	- Yes. - Yes.
