context: And you... response:	When I felt the strongest for you, you knocked me down.
context: even if I kneel, it would still be inappropriate for me to refuse her.\I must say a few things.\Go ahead.\This really isn't only Princess Miao Qing's fault.\You knew she had feelings for you, yet you still brought her up to Heaven.\I know you did it to repay her for saving A-Li.\You also let her escape her marriage arrangement.\You thought she would return to the Eastern Sea after she came to her senses. response:	But that might not be what she thought.
context: I must say a few things.\Go ahead.\This really isn't only Princess Miao Qing's fault.\You knew she had feelings for you, yet you still brought her up to Heaven.\I know you did it to repay her for saving A-Li.\You also let her escape her marriage arrangement.\You thought she would return to the Eastern Sea after she came to her senses.\But that might not be what she thought. response:	She must have thought you'd fallen for her as well.
context: Go ahead.\This really isn't only Princess Miao Qing's fault.\You knew she had feelings for you, yet you still brought her up to Heaven.\I know you did it to repay her for saving A-Li.\You also let her escape her marriage arrangement.\You thought she would return to the Eastern Sea after she came to her senses.\But that might not be what she thought.\She must have thought you'd fallen for her as well. response:	Since you gave her that idea
context: This really isn't only Princess Miao Qing's fault.\You knew she had feelings for you, yet you still brought her up to Heaven.\I know you did it to repay her for saving A-Li.\You also let her escape her marriage arrangement.\You thought she would return to the Eastern Sea after she came to her senses.\But that might not be what she thought.\She must have thought you'd fallen for her as well.\Since you gave her that idea response:	and seemed like such a man of honor, so slow to make your move
context: You knew she had feelings for you, yet you still brought her up to Heaven.\I know you did it to repay her for saving A-Li.\You also let her escape her marriage arrangement.\You thought she would return to the Eastern Sea after she came to her senses.\But that might not be what she thought.\She must have thought you'd fallen for her as well.\Since you gave her that idea\and seemed like such a man of honor, so slow to make your move response:	she must have felt forced to make a move herself.
context: I know you did it to repay her for saving A-Li.\You also let her escape her marriage arrangement.\You thought she would return to the Eastern Sea after she came to her senses.\But that might not be what she thought.\She must have thought you'd fallen for her as well.\Since you gave her that idea\and seemed like such a man of honor, so slow to make your move\she must have felt forced to make a move herself. response:	But in the beginning
context: You also let her escape her marriage arrangement.\You thought she would return to the Eastern Sea after she came to her senses.\But that might not be what she thought.\She must have thought you'd fallen for her as well.\Since you gave her that idea\and seemed like such a man of honor, so slow to make your move\she must have felt forced to make a move herself.\But in the beginning response:	she said she would be content just to be a maid in Xiwu Palace.
context: You thought she would return to the Eastern Sea after she came to her senses.\But that might not be what she thought.\She must have thought you'd fallen for her as well.\Since you gave her that idea\and seemed like such a man of honor, so slow to make your move\she must have felt forced to make a move herself.\But in the beginning\she said she would be content just to be a maid in Xiwu Palace. response:	How can you believe the words said by a woman in love?
context: But that might not be what she thought.\She must have thought you'd fallen for her as well.\Since you gave her that idea\and seemed like such a man of honor, so slow to make your move\she must have felt forced to make a move herself.\But in the beginning\she said she would be content just to be a maid in Xiwu Palace.\How can you believe the words said by a woman in love? response:	Listen to me. Hurry back to the Eastern Sea.
context: She must have thought you'd fallen for her as well.\Since you gave her that idea\and seemed like such a man of honor, so slow to make your move\she must have felt forced to make a move herself.\But in the beginning\she said she would be content just to be a maid in Xiwu Palace.\How can you believe the words said by a woman in love?\Listen to me. Hurry back to the Eastern Sea. response:	She is my wife
context: Since you gave her that idea\and seemed like such a man of honor, so slow to make your move\she must have felt forced to make a move herself.\But in the beginning\she said she would be content just to be a maid in Xiwu Palace.\How can you believe the words said by a woman in love?\Listen to me. Hurry back to the Eastern Sea.\She is my wife response:	as well as the only lady of Xiwu Palace.
context: and seemed like such a man of honor, so slow to make your move\she must have felt forced to make a move herself.\But in the beginning\she said she would be content just to be a maid in Xiwu Palace.\How can you believe the words said by a woman in love?\Listen to me. Hurry back to the Eastern Sea.\She is my wife\as well as the only lady of Xiwu Palace. response:	Since she has said it
context: she must have felt forced to make a move herself.\But in the beginning\she said she would be content just to be a maid in Xiwu Palace.\How can you believe the words said by a woman in love?\Listen to me. Hurry back to the Eastern Sea.\She is my wife\as well as the only lady of Xiwu Palace.\Since she has said it response:	you should return to the Eastern Sea, Princess Miao Qing.
context: But in the beginning\she said she would be content just to be a maid in Xiwu Palace.\How can you believe the words said by a woman in love?\Listen to me. Hurry back to the Eastern Sea.\She is my wife\as well as the only lady of Xiwu Palace.\Since she has said it\you should return to the Eastern Sea, Princess Miao Qing. response:	Your Highness.
context: she said she would be content just to be a maid in Xiwu Palace.\How can you believe the words said by a woman in love?\Listen to me. Hurry back to the Eastern Sea.\She is my wife\as well as the only lady of Xiwu Palace.\Since she has said it\you should return to the Eastern Sea, Princess Miao Qing.\Your Highness. response:	Your Highness, Your Highness!
