context: Japonet, Japonet... Japonet's low prices are incredible! response:	Japonet T.V. shopping.
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	ta
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ta response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ta\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ta\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ta\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\ta\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Sour Cream and Onion\ta\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Sour Cream and Onion\ta\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: ta\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	ra
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ra response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ra\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ra\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\ra\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\ra\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Sour Cream and Onion\ra\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Sour Cream and Onion\ra\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: ra\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	Potayto Chips
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips response:	Potayto Chips
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips response:	Sour Cream and Onion
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion response:	shi
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\shi response:	yo
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\shi\yo response:	I'm always savoring the trio of food, sleep, and fun!
context: Potayto Chips\Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\shi\yo\I'm always savoring the trio of food, sleep, and fun! response:	u!
context: Sour Cream and Onion\Potayto Chips\Potayto Chips\Sour Cream and Onion\shi\yo\I'm always savoring the trio of food, sleep, and fun!\u! response:	tsu
context: Potayto Chips\Potayto Chips\Sour Cream and Onion\shi\yo\I'm always savoring the trio of food, sleep, and fun!\u!\tsu response:	da
context: Potayto Chips\Sour Cream and Onion\shi\yo\I'm always savoring the trio of food, sleep, and fun!\u!\tsu\da response:	tte
context: Sour Cream and Onion\shi\yo\I'm always savoring the trio of food, sleep, and fun!\u!\tsu\da\tte response:	kuu
context: shi\yo\I'm always savoring the trio of food, sleep, and fun!\u!\tsu\da\tte\kuu response:	ne
context: yo\I'm always savoring the trio of food, sleep, and fun!\u!\tsu\da\tte\kuu\ne response:	ru
context: I'm always savoring the trio of food, sleep, and fun!\u!\tsu\da\tte\kuu\ne\ru response:	so
context: u!\tsu\da\tte\kuu\ne\ru\so response:	bu
context: tsu\da\tte\kuu\ne\ru\so\bu response:	no
context: da\tte\kuu\ne\ru\so\bu\no response:	san
context: tte\kuu\ne\ru\so\bu\no\san response:	ren
context: kuu\ne\ru\so\bu\no\san\ren response:	co
context: ne\ru\so\bu\no\san\ren\co response:	bo
context: ru\so\bu\no\san\ren\co\bo response:	tsu
context: so\bu\no\san\ren\co\bo\tsu response:	da
context: bu\no\san\ren\co\bo\tsu\da response:	tte
context: no\san\ren\co\bo\tsu\da\tte response:	kuu
context: san\ren\co\bo\tsu\da\tte\kuu response:	ne
context: ren\co\bo\tsu\da\tte\kuu\ne response:	ru
context: co\bo\tsu\da\tte\kuu\ne\ru response:	so
context: bo\tsu\da\tte\kuu\ne\ru\so response:	so
context: tsu\da\tte\kuu\ne\ru\so\so response:	bu
context: da\tte\kuu\ne\ru\so\so\bu response:	bu
context: tte\kuu\ne\ru\so\so\bu\bu response:	no
context: kuu\ne\ru\so\so\bu\bu\no response:	My video games will always be my friends.
context: ne\ru\so\so\bu\bu\no\My video games will always be my friends. response:	zu
context: ru\so\so\bu\bu\no\My video games will always be my friends.\zu response:	tto
context: so\so\bu\bu\no\My video games will always be my friends.\zu\tto response:	zu
context: so\bu\bu\no\My video games will always be my friends.\zu\tto\zu response:	tto
context: bu\bu\no\My video games will always be my friends.\zu\tto\zu\tto response:	ge
context: bu\no\My video games will always be my friends.\zu\tto\zu\tto\ge response:	mu
context: no\My video games will always be my friends.\zu\tto\zu\tto\ge\mu response:	wa
context: My video games will always be my friends.\zu\tto\zu\tto\ge\mu\wa response:	to
context: zu\tto\zu\tto\ge\mu\wa\to response:	mo
context: tto\zu\tto\ge\mu\wa\to\mo response:	da
context: zu\tto\ge\mu\wa\to\mo\da response:	chi
context: tto\ge\mu\wa\to\mo\da\chi response:	zu
context: ge\mu\wa\to\mo\da\chi\zu response:	tto
context: mu\wa\to\mo\da\chi\zu\tto response:	zu
context: wa\to\mo\da\chi\zu\tto\zu response:	tto
context: to\mo\da\chi\zu\tto\zu\tto response:	ge
context: mo\da\chi\zu\tto\zu\tto\ge response:	mu
context: da\chi\zu\tto\zu\tto\ge\mu response:	wa
context: chi\zu\tto\zu\tto\ge\mu\wa response:	to
context: zu\tto\zu\tto\ge\mu\wa\to response:	mo
context: tto\zu\tto\ge\mu\wa\to\mo response:	da
context: zu\tto\ge\mu\wa\to\mo\da response:	Though my brother tries to discipline me,
context: tto\ge\mu\wa\to\mo\da\Though my brother tries to discipline me, response:	chi
context: ge\mu\wa\to\mo\da\Though my brother tries to discipline me,\chi response:	ni
context: mu\wa\to\mo\da\Though my brother tries to discipline me,\chi\ni response:	i-
context: wa\to\mo\da\Though my brother tries to discipline me,\chi\ni\i- response:	cha
context: to\mo\da\Though my brother tries to discipline me,\chi\ni\i-\cha response:	wa
context: mo\da\Though my brother tries to discipline me,\chi\ni\i-\cha\wa response:	ki
context: da\Though my brother tries to discipline me,\chi\ni\i-\cha\wa\ki response:	bi
context: Though my brother tries to discipline me,\chi\ni\i-\cha\wa\ki\bi response:	shii
context: chi\ni\i-\cha\wa\ki\bi\shii response:	ke
context: ni\i-\cha\wa\ki\bi\shii\ke response:	do
context: i-\cha\wa\ki\bi\shii\ke\do response:	ni
context: cha\wa\ki\bi\shii\ke\do\ni response:	i-
context: wa\ki\bi\shii\ke\do\ni\i- response:	cha
context: ki\bi\shii\ke\do\ni\i-\cha response:	wa
context: bi\shii\ke\do\ni\i-\cha\wa response:	ki
context: shii\ke\do\ni\i-\cha\wa\ki response:	ki
context: ke\do\ni\i-\cha\wa\ki\ki response:	bi
context: do\ni\i-\cha\wa\ki\ki\bi response:	bi
context: ni\i-\cha\wa\ki\ki\bi\bi response:	shii
context: i-\cha\wa\ki\ki\bi\bi\shii response:	shii
context: cha\wa\ki\ki\bi\bi\shii\shii response:	ke
context: wa\ki\ki\bi\bi\shii\shii\ke response:	I know he can't stay mad for long.
context: ki\ki\bi\bi\shii\shii\ke\I know he can't stay mad for long. response:	do
context: ki\bi\bi\shii\shii\ke\I know he can't stay mad for long.\do response:	ki
context: bi\bi\shii\shii\ke\I know he can't stay mad for long.\do\ki response:	tto
context: bi\shii\shii\ke\I know he can't stay mad for long.\do\ki\tto response:	ki
context: shii\shii\ke\I know he can't stay mad for long.\do\ki\tto\ki response:	tto
context: shii\ke\I know he can't stay mad for long.\do\ki\tto\ki\tto response:	yu
context: ke\I know he can't stay mad for long.\do\ki\tto\ki\tto\yu response:	ru
context: I know he can't stay mad for long.\do\ki\tto\ki\tto\yu\ru response:	shi
context: do\ki\tto\ki\tto\yu\ru\shi response:	te
context: ki\tto\ki\tto\yu\ru\shi\te response:	ku
context: tto\ki\tto\yu\ru\shi\te\ku response:	re
context: ki\tto\yu\ru\shi\te\ku\re response:	cha
context: tto\yu\ru\shi\te\ku\re\cha response:	no
context: yu\ru\shi\te\ku\re\cha\no response:	ki
context: ru\shi\te\ku\re\cha\no\ki response:	tto
context: shi\te\ku\re\cha\no\ki\tto response:	ki
context: te\ku\re\cha\no\ki\tto\ki response:	tto
context: ku\re\cha\no\ki\tto\ki\tto response:	yu
context: re\cha\no\ki\tto\ki\tto\yu response:	yu
context: cha\no\ki\tto\ki\tto\yu\yu response:	ru
context: no\ki\tto\ki\tto\yu\yu\ru response:	ru
context: ki\tto\ki\tto\yu\yu\ru\ru response:	shi
