context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: What is that? The name is so strange.\Allow me to wash your teacup.\Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?\What are you doing?\How dare you do this to me? How presumptuous!\Oh no...\- You! - Why didn't you greet me first?\You! response:	You spilled tea all over me and you still dare to make a fuss?
context: Allow me to wash your teacup.\Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?\What are you doing?\How dare you do this to me? How presumptuous!\Oh no...\- You! - Why didn't you greet me first?\You!\You spilled tea all over me and you still dare to make a fuss? response:	How presumptuous of you!
context: Strange. Why does Dijun keep questioning me about Auntie and Mo Yuan?\What are you doing?\How dare you do this to me? How presumptuous!\Oh no...\- You! - Why didn't you greet me first?\You!\You spilled tea all over me and you still dare to make a fuss?\How presumptuous of you! response:	Don't think because you're Qing Qiu's princess
context: What are you doing?\How dare you do this to me? How presumptuous!\Oh no...\- You! - Why didn't you greet me first?\You!\You spilled tea all over me and you still dare to make a fuss?\How presumptuous of you!\Don't think because you're Qing Qiu's princess response:	you can use an excuse of repaying a kindness
context: How dare you do this to me? How presumptuous!\Oh no...\- You! - Why didn't you greet me first?\You!\You spilled tea all over me and you still dare to make a fuss?\How presumptuous of you!\Don't think because you're Qing Qiu's princess\you can use an excuse of repaying a kindness response:	to come and go freely from the Celestial Palace.
context: Oh no...\- You! - Why didn't you greet me first?\You!\You spilled tea all over me and you still dare to make a fuss?\How presumptuous of you!\Don't think because you're Qing Qiu's princess\you can use an excuse of repaying a kindness\to come and go freely from the Celestial Palace. response:	This is not Qing Qiu. Don't think you can do whatever you please!
context: - You! - Why didn't you greet me first?\You!\You spilled tea all over me and you still dare to make a fuss?\How presumptuous of you!\Don't think because you're Qing Qiu's princess\you can use an excuse of repaying a kindness\to come and go freely from the Celestial Palace.\This is not Qing Qiu. Don't think you can do whatever you please! response:	This is the teacup Mo Yuan gave to Dijun.
context: You!\You spilled tea all over me and you still dare to make a fuss?\How presumptuous of you!\Don't think because you're Qing Qiu's princess\you can use an excuse of repaying a kindness\to come and go freely from the Celestial Palace.\This is not Qing Qiu. Don't think you can do whatever you please!\This is the teacup Mo Yuan gave to Dijun. response:	My-
context: You spilled tea all over me and you still dare to make a fuss?\How presumptuous of you!\Don't think because you're Qing Qiu's princess\you can use an excuse of repaying a kindness\to come and go freely from the Celestial Palace.\This is not Qing Qiu. Don't think you can do whatever you please!\This is the teacup Mo Yuan gave to Dijun.\My- response:	This noise is giving me a headache.
context: How presumptuous of you!\Don't think because you're Qing Qiu's princess\you can use an excuse of repaying a kindness\to come and go freely from the Celestial Palace.\This is not Qing Qiu. Don't think you can do whatever you please!\This is the teacup Mo Yuan gave to Dijun.\My-\This noise is giving me a headache. response:	Greetings, Dong Hua Dijun.
context: Don't think because you're Qing Qiu's princess\you can use an excuse of repaying a kindness\to come and go freely from the Celestial Palace.\This is not Qing Qiu. Don't think you can do whatever you please!\This is the teacup Mo Yuan gave to Dijun.\My-\This noise is giving me a headache.\Greetings, Dong Hua Dijun. response:	I heard the people in Cousin's palace say
context: you can use an excuse of repaying a kindness\to come and go freely from the Celestial Palace.\This is not Qing Qiu. Don't think you can do whatever you please!\This is the teacup Mo Yuan gave to Dijun.\My-\This noise is giving me a headache.\Greetings, Dong Hua Dijun.\I heard the people in Cousin's palace say response:	you and Heavenly Lord went to Cousin's Zichen Hall at daybreak
context: to come and go freely from the Celestial Palace.\This is not Qing Qiu. Don't think you can do whatever you please!\This is the teacup Mo Yuan gave to Dijun.\My-\This noise is giving me a headache.\Greetings, Dong Hua Dijun.\I heard the people in Cousin's palace say\you and Heavenly Lord went to Cousin's Zichen Hall at daybreak response:	to discuss Cousin's engagement with Bai Qian.
context: This is not Qing Qiu. Don't think you can do whatever you please!\This is the teacup Mo Yuan gave to Dijun.\My-\This noise is giving me a headache.\Greetings, Dong Hua Dijun.\I heard the people in Cousin's palace say\you and Heavenly Lord went to Cousin's Zichen Hall at daybreak\to discuss Cousin's engagement with Bai Qian. response:	That is correct.
context: This is the teacup Mo Yuan gave to Dijun.\My-\This noise is giving me a headache.\Greetings, Dong Hua Dijun.\I heard the people in Cousin's palace say\you and Heavenly Lord went to Cousin's Zichen Hall at daybreak\to discuss Cousin's engagement with Bai Qian.\That is correct. response:	Will His Highness be escorting my aunt to the wedding ceremony?
context: My-\This noise is giving me a headache.\Greetings, Dong Hua Dijun.\I heard the people in Cousin's palace say\you and Heavenly Lord went to Cousin's Zichen Hall at daybreak\to discuss Cousin's engagement with Bai Qian.\That is correct.\Will His Highness be escorting my aunt to the wedding ceremony? response:	That is correct.
context: This noise is giving me a headache.\Greetings, Dong Hua Dijun.\I heard the people in Cousin's palace say\you and Heavenly Lord went to Cousin's Zichen Hall at daybreak\to discuss Cousin's engagement with Bai Qian.\That is correct.\Will His Highness be escorting my aunt to the wedding ceremony?\That is correct. response:	Will you be going to the wedding procession?
context: Greetings, Dong Hua Dijun.\I heard the people in Cousin's palace say\you and Heavenly Lord went to Cousin's Zichen Hall at daybreak\to discuss Cousin's engagement with Bai Qian.\That is correct.\Will His Highness be escorting my aunt to the wedding ceremony?\That is correct.\Will you be going to the wedding procession? response:	That is correct.
context: I heard the people in Cousin's palace say\you and Heavenly Lord went to Cousin's Zichen Hall at daybreak\to discuss Cousin's engagement with Bai Qian.\That is correct.\Will His Highness be escorting my aunt to the wedding ceremony?\That is correct.\Will you be going to the wedding procession?\That is correct. response:	What else do you want to ask?
context: you and Heavenly Lord went to Cousin's Zichen Hall at daybreak\to discuss Cousin's engagement with Bai Qian.\That is correct.\Will His Highness be escorting my aunt to the wedding ceremony?\That is correct.\Will you be going to the wedding procession?\That is correct.\What else do you want to ask? response:	Nothing else at the moment.
context: to discuss Cousin's engagement with Bai Qian.\That is correct.\Will His Highness be escorting my aunt to the wedding ceremony?\That is correct.\Will you be going to the wedding procession?\That is correct.\What else do you want to ask?\Nothing else at the moment. response:	- I want to ask- - If there's nothing else, you may go.
context: That is correct.\Will His Highness be escorting my aunt to the wedding ceremony?\That is correct.\Will you be going to the wedding procession?\That is correct.\What else do you want to ask?\Nothing else at the moment.\- I want to ask- - If there's nothing else, you may go. response:	I have to handle Taichen Palace affairs now.
context: Will His Highness be escorting my aunt to the wedding ceremony?\That is correct.\Will you be going to the wedding procession?\That is correct.\What else do you want to ask?\Nothing else at the moment.\- I want to ask- - If there's nothing else, you may go.\I have to handle Taichen Palace affairs now. response:	All right.
